IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,<*>:</*> - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*>}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-<*>].]
jemmytest,jemmytest<*>,jemmytest
jemmytest,jemmytest<*>,jemmytest
"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of 21335 bytes @ 5481561 took 0.501237 sec. to complete, 16 reads >= 0.5 sec.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> sec. to complete, <*> reads >= <*> sec.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> <*> to complete, <*> reads >= <*> sec."
AirPort: Link Up on en0,Port: Link Up on en0,AirPort: Link Up on en0
button report: 0X80076ED,button report: <*>X<*>ED,button report: <*>
-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,-_ContinuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,<*>-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.
-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.,-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.,<*>-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.
[00:28:42.167] (Fig) signalled err=-12871,[<*>:<*>:<*>] signalled err=<*>,[<*>:<*>:<*>] (Fig) signalled err=<*>
[00:29:04.085] <<<< CRABS >>>> crabsWaitForLoad: [0x7fbc7ac683a0] Wait time out - -1001 (msRequestTimeout -1),[00:29:04.085] <<<< <*>>>>> crabsWaitForLoad: [0x7fbc7ac683a0] Wait time out - -1001 (msRequestTimeout -1),[<*>:<*>:<*>] <<<< CRABS >>>> crabsWaitForLoad: [<*>] Wait time out - <*> (msRequestTimeout <*>)
tcp_connection_handle_connect_conditions_bad 22710 failed: 3 - No network route,tcp_connection_handle_connect_conditions_bad failed: <*> - No network route,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route
"Configuration Notice: ASL Module ""com.apple.corecdp.osx.asl"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.","ASL Module ""com.apple.corecdp.osx.asl"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.","Configuration Notice: ASL Module ""<*>"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database."
"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7fb7ed616c80 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}","<*> failed with Error Error Domain=NSURLErrorDomain Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*>","PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The request timed out.}"
Failed to stop a scan - central is not powered on: 4,Failed to stop a scan - central is not powered on: [<*>],Failed to stop a scan - central is not powered on: <*>
[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),[HID] [ATC] AppleDeviceManagementHIDEventService::process WakeReason Wake reason: Host (0x01),[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>)
AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,<*>::waitForOk2Go2Sx - retries = <*>,<*>::<*> - retries = <*>
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread <*>,AppleCamIn::wakeEventHandlerThread
com.apple.Addres(35762) deny network-outbound /private/var/run/mDNSResponder,com.apple.Addres(<*>) deny network-outbound <*>,<*>(<*>) deny network-outbound <*>
Sandbox: com.apple.Addres(35773) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: com.apple.Addres(<*>) deny(<*>) network-outbound <*>,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>
"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3","USBMSC Identifier (non-unique): <*> <*> <*> <*> <*>, 3",USBMSC Identifier (non-unique): <*>
ASL Sender Statistics,ASL Sender Statistics <*>,ASL Sender Statistics
**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- 0x6000 ****,[BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (Matched on Device) -- 0x6000****,**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- <*> ****
"hibernate_newruntime_map time: 0 ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled 0","hibernate_newruntime_map time: <*> ms, <*>, <*>","hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>"
"hibernate_machine_init pagesDone 451550 sum2 4886d9d9, time: 197 ms, disk(0x20000) 799 Mb/s, comp bytes: 40017920 time: 27 ms 1412 Mb/s, crypt bytes: 160550912 time: 39 ms 3904 Mb/s","hibernate_machine_init pagesDone <*> sum2 <*>, time: <*> ms, disk(<*>) <*> Mb/s, Comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s","hibernate_machine_init pagesDone <*> sum2 <*>, time: <*> ms, disk(<*>) <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s"
vm_compressor_fastwake_warmup (581519 - 591525) - starting,vm_ compressor_fastwake_warmup (581519 - 591525) - starting,vm_compressor_fastwake_warmup (<*> - <*>) - starting
BuildActDeviceEntry exit,BuildActDeviceEntry exit <*>,BuildActDeviceEntry exit
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))","<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: NO <*> (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.Encryption"", ""com.apple.private.alloy.continuity.Activity"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"", ""<*>"" ))",<IMMacNotificationCenterManager: <*>: Updating enabled: YES (Topics: (<*>))
Error returned from iconservicesagent: (null),Error returned from iconservicesagent: (null),Error returned from iconservicesagent: (<*>)
"2017-07-05 10:52:15.982 GoogleSoftwareUpdateAgent[35861/0x700000323000] [lvl=2] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""https://tools.google.com/service/update2?cup2hreq=d297a7e5b56d6bd4faa75860fff6e485c301bf4e943a561afff6c8b3707ce948&cup2key=7:2988503627""","<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""https://tools.google.com/service/update2?cup2hreq=<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<","<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""<*>"""
2017-07-05 10:52:16.779 ksfetch[35863/0x7fff79824000] [lvl=2] main() Fetcher received a request: <NSMutableURLRequest: 0x100501610> { URL: https://tools.google.com/service/update2?cup2hreq=a7873a51b1cb55518e420d20dff47d463781ed3f7aa83c3153129eefb148070b&cup2key=7:2501762722 },<NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest: <NSMutableURLRequest,<*>-<*>-<*> <*>:<*>:<*> ksfetch[<*>/<*>] [lvl=<*>] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> }
2017-07-05 10:52:16.977 GoogleSoftwareUpdateAgent[35861/0x700000323000] [lvl=2] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,<*> [lvl=2] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.
2017/07/05 10:57:01.130 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = 1742124257.,<*> | <*> | <*>:<*>:<*> | <*>:<*>:<*> | close video chat. llFriendUIN = <*>,<*>/<*>/<*> <*>:<*>:<*> | I | VoipWrapper | DAVEngineImpl.cpp:<*>:Close | close video chat. llFriendUIN = <*>.
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0,<*>::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: com.apple.FaceTime   notification: __CFNotification 0x7fdcc9d19110 {name = _NSDoNotDisturbEnabledNotification},<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: <*>: notification: <*>,<IMMacNotificationCenterManager: <*>: notification observer: com.apple.FaceTime notification: __CFNotification <*> {name = _NSDoNotDisturbEnabledNotification}
"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0","Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>","Setting BTCoex Config: <*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>"
Received Capture Event,Received Capture Event <*>,Received Capture Event
"CCFile::captureLogRun Skipping current file Dir file [2017-07-05_11,01,55.983179]-AirPortBrcm4360_Logs-006.txt, Current File [2017-07-05_11,01,55.983179]-AirPortBrcm4360_Logs-006.txt","CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>,<*>,<*>.<*>]-AirPortBrcm4360_Logs-<*>.<*>]-AirPortBrcm4360_Logs-<*>.<*>, Current File [<*>-<*>-<*>,<*>,<*>.<*>]-AirPortBrcm4360_Logs-<*>.<*>]-AirPortBrcm4360_Logs-<*>.<*>","CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>,<*>,<*>]-<*>, Current File [<*>-<*>-<*>,<*>,<*>]-<*>"
CCProfileMonitor::freeResources done,CCProfileMonitor::freeResources done <*>,CCProfileMonitor::freeResources done
"CCFile::copyFile fileName is [2017-07-05_11,39,39.743225]-CCIOReporter-001.xml, source path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/OneStats//[2017-07-05_11,39,39.743225]-CCIOReporter-001.xml, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-05_11,39,38.739976]=AuthFail:sts:5_rsn:0/OneStats//[2017-07-05_11,39,39.743225]-CCIOReporter-001.xml","CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>.<*>]-CCIOReporter-<*>.xml, source path:/var/log/CoreCapture/<*>/<*>-<*>,<*>,<*>.<*>]-CCIOReporter-<*>.xml, dest path:/Library/Logs/CrashReporter/<*>/<*>-<*>,<*>,<*>.<*>]-CCIOReporter-<*>.xml","CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>]-<*>, source path:<*>, dest path:<*>"
tcp_connection_destination_perform_socket_connect 44073 connectx to 123.125.50.30:143@0 failed: [50] Network is down,tcp_connection_destination_perform_socket_connect 44073 connectx to <*>:<*>@<*> failed: [<*>] Network is down,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@<*> failed: [<*>] Network is down
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:    NC Disabled: NO,<IMMacNotificationCenterManager: <*>: NC Disabled: NO>,<IMMacNotificationCenterManager: <*>: NC Disabled: NO
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO,<IMMacNotificationCenterManager: <*>: <*>: DND Enabled: NO>,<IMMacNotificationCenterManager: <*>: DND Enabled: NO
Error returned from iconservicesagent: (null),Error returned from iconservicesagent: (null),Error returned from iconservicesagent: (<*>)
CGXDisplayDidWakeNotification [723587602857832]: posting kCGSDisplayDidWake,<*>: posting kCGSDisplayDid Wake,CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc22930 125.39.240.34:14000,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc22930 <*>:<*>,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>:<*>
"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3","USBMSC Identifier (non-unique): <*> <*> <*> <*> <*>, 3",USBMSC Identifier (non-unique): <*>
Daemon connection invalidated!,Daemon connection invalidated! can be replaced with <*>,Daemon connection invalidated!
"CCFile::copyFile fileName is [2017-07-05_14,04,19.163834]-AirPortBrcm4360_Logs-025.txt, source path:/var/log/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/DriverLogs//[2017-07-05_14,04,19.163834]-AirPortBrcm4360_Logs-025.txt, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/[2017-07-05_14,04,19.222771]=AuthFail:sts:5_rsn:0/DriverLogs//[2017-07-05_14,04,19.163834]-AirPortBrcm4360_Logs-025.txt","CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>.<*>,<*>]-AirPortBrcm4360_Logs-<*>.txt, source path:/var/log/CoreCapture/<*>/DriverLogs//[<*>-<*>-<*>,<*>,<*>.<*>,<*>]-AirPortBrcm4360_Logs-<*>.txt, dest path:<*>/Library/Logs/CrashReporter/CoreCapture/<*>/<*>/DriverLogs//[<*>-<*>-<*>,<*>,<*>.<*>,<*>]-AirPortBrcm4360_Logs-<*>.txt","CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>]-<*>, source path:<*>, dest path:<*>"
ARPT: 724786.252727: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,ARPT: <*>: AQM agg results 0x8001 len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*> <*> <*> <*>,ARPT: <*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*>
"CCFile::captureLogRun Skipping current file Dir file [2017-07-05_14,04,25.118445]-AirPortBrcm4360_Logs-040.txt, Current File [2017-07-05_14,04,25.118445]-AirPortBrcm4360_Logs-040.txt","CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>,<*>,<*>.<*>]-AirPortBrcm4360_Logs-<*>.<*>]-AirPortBrcm4360_Logs-<*>.<*>, Current File [<*>-<*>-<*>,<*>,<*>.<*>]-AirPortBrcm4360_Logs-<*>.<*>]-AirPortBrcm4360_Logs-<*>.<*>","CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>,<*>,<*>]-<*>, Current File [<*>-<*>-<*>,<*>,<*>]-<*>"
"CCFile::copyFile fileName is [2017-07-05_14,04,25.705173]-CCIOReporter-044.xml, source path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/OneStats//[2017-07-05_14,04,25.705173]-CCIOReporter-044.xml, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-05_14,04,25.777317]=AuthFail:sts:5_rsn:0/OneStats//[2017-07-05_14,04,25.705173]-CCIOReporter-044.xml","CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>.<*>]-CCIOReporter-<*>.xml, source path:/var/log/CoreCapture/<*>/<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>,<*>,<*>.<*>]-<*>-<*>","CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>]-<*>, source path:<*>, dest path:<*>"
"doSaveChannels@286: Will write to: /Library/Logs/CrashReporter/CoreCapture/IOReporters/[2017-07-05_14,04,24.831957] - AssocFail:sts:5_rsn:0.xml",doSaveChannels@<*>: Will write to: <*> - AssocFail:sts:<*>_rsn:<*>.xml,doSaveChannels@<*>: Will write to: <*>
Received Capture Event,Received Capture Event<*>,Received Capture Event
network changed: v4(en0+:10.105.160.226) v6(en0:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,network changed: v4(en0+:<*>) v6(en0:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>) DNS! Proxy SMB,network changed: <*>(<*>:<*>) <*>(<*>) DNS! Proxy SMB
"ARPT: 724869.297011: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': 4551,","ARPT: <*>: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>","ARPT: <*>: IOPMPowerSource Information: onWake, SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>,"
nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,<*> successfully changed NAT64 ifstate from <*> to <*>
Bluetooth -- LE is supported - Disable LE meta event,Bluetooth -- LE is supported - Disable LE meta event <*>,Bluetooth -- LE is supported - Disable LE meta event
ASSERTION FAILED: dvcAddrRef != ((void *)0) -[DriverServices getDeviceAddress:] line: 2789,ASSERTIONFAILED: dvcAddrRef != ((void *)0) -[DriverServices getDeviceAddress:] line: <*>,ASSERTION FAILED: dvcAddrRef != ((void *)<*>) -[DriverServices getDeviceAddress:] line: <*>
